starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:03 2019	1566295863	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:03 2019	1566295863	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:03 2019	1566295863	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:56 2019	1566295856	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:03 2019	1566295863	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:03 2019	1566295863	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:48 2019	1566295848	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:44 2019	1566295844	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:58 2019	1566295858	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:07 2019	1566295867	0	0	0	0
Tue Aug 20 12:10:50 2019	1566295850	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:04 2019	1566295864	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:10 2019	1566295870	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:52 2019	1566295852	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:09 2019	1566295869	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:11:02 2019	1566295862	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:11:11 2019	1566295871	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:06 2019	1566295866	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:47 2019	1566295847	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:11:01 2019	1566295861	0	0	0	0
Tue Aug 20 12:11:08 2019	1566295868	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:00 2019	1566295860	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:45 2019	1566295845	0	0	0	0
Tue Aug 20 12:10:46 2019	1566295846	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:57 2019	1566295857	0	0	0	0
Tue Aug 20 12:10:59 2019	1566295859	0	0	0	0
Tue Aug 20 12:11:12 2019	1566295872	0	0	0	0
Tue Aug 20 12:10:43 2019	1566295843	0	0	0	0
Tue Aug 20 12:10:49 2019	1566295849	0	0	0	0
Tue Aug 20 12:10:53 2019	1566295853	0	0	0	0
Tue Aug 20 12:10:54 2019	1566295854	0	0	0	0
Tue Aug 20 12:10:55 2019	1566295855	0	0	0	0
Tue Aug 20 12:11:05 2019	1566295865	0	0	0	0
